sale_date,medicine_name,manufacturer,storage_condition,quantity_sold,temperature,flu_season,rain
1/1/2024,Paracetamol 500mg,Boston Pharma,"Bảo quản nơi khô ráo, thoáng mát",46,26,0,0
1/1/2024,Amoxicillin 250mg,Traphaco,"Bảo quản nơi khô ráo, thoáng mát",44,20,0,1
1/1/2024,Vitamin C 1000mg,Boston Pharma,Giữ trong tủ lạnh (2-8°C),67,35,0,1
1/1/2024,Ibuprofen 400mg,Traphaco,Tránh ánh nắng trực tiếp,103,29,0,1
1/1/2024,Aspirin 81mg,Traphaco,Giữ trong tủ lạnh (2-8°C),114,28,0,0
1/1/2024,Cefixime 200mg,Mekophar,Tránh ánh nắng trực tiếp,30,23,0,0
1/1/2024,Loratadine 10mg,Stella Pharma,Để xa tầm tay trẻ em,118,30,0,1
1/1/2024,Omeprazole 20mg,Imexpharm,Để xa tầm tay trẻ em,29,20,0,0
1/2/2024,Paracetamol 500mg,Boston Pharma,Bảo quản ở nhiệt độ phòng,36,25,0,0
1/2/2024,Amoxicillin 250mg,DHG Pharmacy,Giữ trong tủ lạnh (2-8°C),79,29,0,1
1/2/2024,Vitamin C 1000mg,Stella Pharma,Để xa tầm tay trẻ em,102,24,0,0
1/2/2024,Ibuprofen 400mg,Imexpharm,Bảo quản ở nhiệt độ phòng,31,25,0,1
1/2/2024,Aspirin 81mg,DHG Pharmacy,Giữ trong tủ lạnh (2-8°C),13,23,0,1
1/2/2024,Cefixime 200mg,Boston Pharma,Tránh ánh nắng trực tiếp,98,31,0,0
1/2/2024,Loratadine 10mg,Stella Pharma,"Bảo quản nơi khô ráo, thoáng mát",42,27,0,0
1/2/2024,Omeprazole 20mg,OPC Pharma,Để xa tầm tay trẻ em,93,33,0,0
1/3/2024,Paracetamol 500mg,OPC Pharma,Tránh ánh nắng trực tiếp,107,23,0,1
1/3/2024,Amoxicillin 250mg,DHG Pharmacy,Giữ trong tủ lạnh (2-8°C),40,31,0,1
1/3/2024,Vitamin C 1000mg,OPC Pharma,Tránh ánh nắng trực tiếp,92,22,0,1
1/3/2024,Ibuprofen 400mg,Imexpharm,Giữ trong tủ lạnh (2-8°C),100,25,0,1
1/3/2024,Aspirin 81mg,Boston Pharma,Để xa tầm tay trẻ em,92,23,0,0
1/3/2024,Cefixime 200mg,Mekophar,"Bảo quản nơi khô ráo, thoáng mát",89,25,0,0
1/3/2024,Loratadine 10mg,Boston Pharma,"Bảo quản nơi khô ráo, thoáng mát",112,31,0,0
1/3/2024,Omeprazole 20mg,Imexpharm,"Bảo quản nơi khô ráo, thoáng mát",21,26,0,0
1/4/2024,Paracetamol 500mg,OPC Pharma,Bảo quản ở nhiệt độ phòng,21,20,0,0
1/4/2024,Amoxicillin 250mg,Stella Pharma,"Bảo quản nơi khô ráo, thoáng mát",54,30,0,0
1/4/2024,Vitamin C 1000mg,Mekophar,Để xa tầm tay trẻ em,55,35,0,1
1/4/2024,Ibuprofen 400mg,OPC Pharma,Bảo quản ở nhiệt độ phòng,67,26,0,0
1/4/2024,Aspirin 81mg,Boston Pharma,Để xa tầm tay trẻ em,56,26,0,1
1/4/2024,Cefixime 200mg,Stella Pharma,Giữ trong tủ lạnh (2-8°C),13,20,0,1
1/4/2024,Loratadine 10mg,Mekophar,"Bảo quản nơi khô ráo, thoáng mát",98,22,0,1
1/4/2024,Omeprazole 20mg,Boston Pharma,Bảo quản ở nhiệt độ phòng,41,24,0,1
1/5/2024,Paracetamol 500mg,Mekophar,"Bảo quản nơi khô ráo, thoáng mát",52,32,0,0
1/5/2024,Amoxicillin 250mg,DHG Pharmacy,Để xa tầm tay trẻ em,82,23,0,1
1/5/2024,Vitamin C 1000mg,Stella Pharma,Để xa tầm tay trẻ em,23,28,0,0
1/5/2024,Ibuprofen 400mg,OPC Pharma,Để xa tầm tay trẻ em,30,32,0,1
1/5/2024,Aspirin 81mg,OPC Pharma,"Bảo quản nơi khô ráo, thoáng mát",118,30,0,1
